date,product_id,quantity,revenue
2025-01-01,101,5,500
2025-01-01,102,2,200
2025-01-02,101,3,300
2025-01-02,103,4,400
2025-01-03,102,6,600
2025-01-03,104,1,150
2025-01-04,101,2,200
2025-01-04,103,5,500
2025-01-05,102,3,300
2025-01-05,104,2,300
2025-01-06,101,7,700
2025-01-06,103,1,100
2025-01-07,102,4,400
2025-01-07,104,3,450
2025-01-08,101,6,600
2025-01-08,103,2,200
2025-01-09,102,5,500
2025-01-09,104,4,600
2025-01-10,101,3,300
2025-01-10,103,6,600
2025-01-11,102,2,200
2025-01-11,104,5,750
2025-01-12,101,4,400
2025-01-12,103,3,300
2025-01-13,102,7,700
2025-01-13,104,1,150
2025-01-14,101,5,500
2025-01-14,103,4,400
2025-01-15,102,3,300
2025-01-15,104,6,900
